TransactionNumber,LineNumber,InvoiceDate,AccountingDate,PostingDate,VendorName,VendorCountry,VendorVatId,CustomerName,CustomerCountry,CustomerVatId,Currency,BaseAmount,TaxAmount,TaxRate,ShipToCountry,ShipFromCountry,LineDescription
295310486,55.4,,23-Mar-2027,20240624,GmbH Sarl GmbH Limited Trading,FR,5ZI.N-C42,🚀£Partners & BV₹¥,US,HTNANMDH4,GBP,131323.65,130209.14,*,???,DE,Consulting servicestab	inside
0003484631,55,2019/06/18,2016-04-29 GMT+2,1928-04-06 03:07:06,K.K. Inc Inc Co HoldingsK.K. Inc Inc Co HoldingsK.K. Inc Inc Co HoldingsK.K. Inc Inc Co HoldingsK.K. Inc Inc Co Holdings,ES,ES 34657871331,LLC	Trading	Co,CN,,EUR,12..34,467434.69,0.1,,AE,Export zero-rated | I1a f7W2pkAFEn3z5dkyayq7YYDsBS9UYJQTFjmsn9dLVIdVudd
199528038,62,22/11/2015,20220117,2016-08-17 00:20:20,"K.K.	Trading,",BR,J.X0ZJ68G76Z9HI/DLDGWVG35,Limited B.V. K.K.,NO, ,JPY¥,"1,2,3",   123   ,-2.2471146985793076,US,N L,"©©₹Payment fee | 4AblV7vY7AZQ3VZprkYSg®
"
299147755,h,14/12/2020,05-Aug-2017,9999-99-99,"	¥¥S.A.	Partners	Co
₹",PL,PL6,Trading Co S.A. & Co,FR,VATFRKTSSDWUA5IWL5F,JPY,0.0008861370229140726,5554762689.850379,0.2,Holland,Belgium,Office supplies
411281013,zero,2050-10-10,29/02/2025,25-May-2024,"K.K. S.A. B.V. S.A.""",CA,CA15R8TB3GOKDTKL,BV Limited B.V.,CA,CAY3,JPY¥,,238552556439.48697,"0,21",IND,???,Consulting services
O51DTjBlUH,Lru2p1,03.06.2025,20201017,2026-12-32,🚀😀Global  Trading  GmbH  Sarl₹₹,AU,,🚀©Sarl  &Sarl  &,SE,UZXMRZ,NOK,359248.59,359248.59,100,China,NL,Intra-EU acquisition
|$&?&(/#^*^,353,05/05/2021,09/06/2019,20180921,"
B.V. NV Partners Global	₹
",CA,CA5E,🚀©🚀Oy	Co	&🚀	™,XX,-2BUXS,AUD,12..34,345305.21,20.0,IN,DE,Export zero-rated
643576793,s,2025-12-25 05:24:36,21-Mar-2022,2026-05-08T25:61:61,Oy Trading S.A. BV Co,CA,£X,"LLC
NV
&
B.V.",ES,"
😀ESGLP5LYOKVY24FIE5R66S",PLN,118319.70,10651.53,0.09,DE,ZA,Office supplies | XV d6MVF155sXZoMZwoOmNqRWUXQR1iOg5OPctYCcLxUif6suVAlmtab	inside
000981452588,2349,'02/07/2027',17.11.2020,31/02/2026,Sarl GmbH😀,Brazil,"€	AUJV AUJV","Global , S.A. , Sarl , Holdings",AE,AE9Q6VQH2NDSSFN6,EUR,"90853,32",280111.88, ,FR,India,Freight charges
690781797,352,10/23/2016 GMT+2,2026-11-25 10:44:12,"May 35, 2026",   ,Brazil,GN9U45,"BV , Partners",POL,ESZL7QMR3IJM6W,CNY,380115.84,380016.81,100,SE,IN,Intra-EU acquisition | jkWNdRfrCQBFM
